2024-06-26 15:32:46,403 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-06-26 15:32:46,403 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-06-26 15:32:46,403 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,404 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-06-26 15:32:46,404 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-06-26 15:32:46,404 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,404 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,404 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-06-26 15:32:46,405 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-06-26 15:32:46,405 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/lubi/anaconda3/envs/thesis-rl/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-06-26 15:32:46,405 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/ubuntu/Ubuntu-R.ttf', name='Ubuntu', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
